SYM_ROOT,SYM_SUFFIX,TRADES_ROWS,TRADES_VOL,TRADES_ROWS_SAVED_TOTAL,QUOTES_ROWS_SAVED_TOTAL
UBER,"",468538,1145449108,9324631,128520108
BETS,"",69922,356457754,9324631,128520108
ET,"",73651,336730874,9324631,128520108
PFE,"",301662,287715357,9324631,128520108
LCID,"",148142,267717424,9324631,128520108
TELL,"",49112,214817614,9324631,128520108
NKLA,"",133948,205579985,9324631,128520108
AAPL,"",625486,183784854,9324631,128520108
T,"",120196,172303560,9324631,128520108
EQH,"",90397,168333759,9324631,128520108
BAC,"",242610,168188495,9324631,128520108
VZ,"",138780,160288530,9324631,128520108
F,"",146562,159652808,9324631,128520108
SPY,"",669221,159259628,9324631,128520108
TSLA,"",1185389,159068358,9324631,128520108
AMZN,"",492794,156092695,9324631,128520108
PCG,"",107080,150877872,9324631,128520108
KO,"",196026,150147001,9324631,128520108
GMBL,"",25561,146970861,9324631,128520108
GETR,"",178711,132520578,9324631,128520108
PLTR,"",278350,130424480,9324631,128520108
BRSH,"",181956,126686402,9324631,128520108
CYH,"",40299,125096151,9324631,128520108
SWN,"",40867,121084035,9324631,128520108
SQQQ,"",153421,116591239,9324631,128520108
INTC,"",337153,114212069,9324631,128520108
MSFT,"",447207,111464305,9324631,128520108
BMY,"",112045,111351302,9324631,128520108
LUMN,"",38142,108416950,9324631,128520108
XOM,"",200934,107395694,9324631,128520108
SOXS,"",126593,107116392,9324631,128520108
COP,"",110077,104894430,9324631,128520108
CMCS,A,128238,97882784,9324631,128520108
WFC,"",183420,95522669,9324631,128520108
ALK,"",44534,95331745,9324631,128520108
KMI,"",58960,93616474,9324631,128520108
SEE,"",36568,93338620,9324631,128520108
XLF,"",107168,88012540,9324631,128520108
HPQ,"",78823,87753386,9324631,128520108
GOOG,"",266240,87741515,9324631,128520108
MULN,"",41157,87443664,9324631,128520108
INPX,"",41639,87228890,9324631,128520108
VSTS,"",17704,86891662,9324631,128520108
NYCB,"",73619,86238257,9324631,128520108
CCCC,"",339905,85960043,9324631,128520108
CSCO,"",154779,85838692,9324631,128520108
NEM,"",89459,85825880,9324631,128520108
AMC,"",78660,85697833,9324631,128520108
BB,"",30140,85138280,9324631,128520108
NXU,"",22786,84670185,9324631,128520108
