SYM_ROOT,SYM_SUFFIX,QUOTES_ROWS
QQQ,"",23188475
SPY,"",22131374
IWM,"",19103001
TQQQ,"",14772048
AAPL,"",9129733
SOXL,"",9064633
TSLA,"",8847235
TNA,"",8231565
GOOG,"",7974826
SMH,"",7883670
AMZN,"",7397949
XLK,"",7152815
SPXL,"",6615897
XLY,"",6542068
GOOG,L,6465782
AMD,"",6442342
XOM,"",6278941
MSFT,"",6235812
UBER,"",6124814
ARKK,"",5983059
TZA,"",5552289
XLE,"",5549166
UPRO,"",5282773
IVV,"",5254247
SH,"",4970830
BABA,"",4885256
DIA,"",4878482
VOO,"",4860995
SQQQ,"",4743359
INTC,"",4703089
TLT,"",4644210
RIVN,"",4642249
MARA,"",4634828
QLD,"",4477479
KRE,"",4299569
VTI,"",4228797
MRVL,"",4183227
XLU,"",4122000
AFRM,"",4116150
TECL,"",4109921
SHOP,"",4099988
RSP,"",4083130
TSLL,"",4039442
XLV,"",3949377
GLD,"",3940975
RIOT,"",3901314
XBI,"",3891053
C,"",3730547
VTWO,"",3702129
PLTR,"",3630180
